	MA_SCP_Best	MA_SCP_Avg	MA_iSCP_Best	MA_iSCP_Avg	MA_SCP+_Best	MA_SCP+_Avg	MA_CB_Best	MA_CB_Avg	MA_ICP_Best	MA_ICP_Avg	MA_HYB_Best	MA_HYB_Avg	CPO_Best	CPO_Avg
i1000_50_6	18507	19553.80	17647	17946.30	17650	17963.80	16946	17149.80	16755	16830.70	16656	16656.30	18216	18216.00
i1000_50_7	22149	23676.60	20645	21556.50	20838	21482.00	19937	20210.90	19744	19938.40	19566	19566.00	21181	21181.00
i1000_50_8	2551	2956.43	2150	2271.83	2147	2209.23	1948	1983.57	1968	2023.63	1886	1888.77	2227	2227.00
i1000_50_9	16793	17964.90	15091	15755.00	14828	15179.70	14042	14258.60	14259	14401.30	13740	13741.60	15473	15473.00
i1000_50_10	5359	5926.30	4569	4776.03	4415	4539.90	4152	4198.00	4126	4213.60	3989	3989.00	4682	4682.00
i1000_100_1	89422	91770.10	84601	87936.40	81607	83941.10	73038	73550.20	73744	74107.90	71034	71095.70	73637	73637.00
i1000_100_2	87880	91243.90	85406	88028.60	82188	84167.20	76718	77728.00	76544	76799.50	75101	75128.40	81104	81104.00
i1000_100_3	43264	45809.80	42093	43737.40	34448	35621.70	26371	26614.40	28283	28587.70	25977	26031.70	28292	28292.00
i1000_100_4	45528	47420.30	43274	45125.30	41377	43194.90	37639	38008.50	37246	37487.30	36374	36402.70	39057	39057.00
i1000_100_5	98057	101289.00	94099	97602.50	85591	87589.00	68890	70011.00	73012	73945.90	67109	67326.40	76080	76080.00
i1000_100_6	57954	61000.20	55623	57639.50	54071	55287.10	49154	49678.20	48818	49135.00	47540	47587.00	50541	50541.00
i1000_100_7	72095	74592.10	68415	70888.40	56603	59998.90	45210	45533.50	48522	49129.30	44545	44637.80	47746	47746.00
i1000_100_8	60805	64170.20	60062	61613.50	57881	59085.10	53808	54441.20	53075	53324.60	52266	52290.40	55973	55973.00
i1000_100_9	33410	35199.10	31434	33164.50	27787	28787.90	24616	24953.50	24577	24774.70	23704	23721.80	26585	26585.00
i1000_100_10	33648	35611.30	30535	32501.00	22683	23472.80	16337	16584.20	17649	17913.10	15664	15795.20	17803	17803.00
